time	V(a)	V(b)	V(c)	V(d)	V(out)
2.655785714282541e-006	3.088993e+000	4.970352e+000	9.914042e-002	4.994067e+000	-1.248776e-001
2.667071428568242e-006	3.047804e+000	4.970684e+000	9.500225e-002	4.994863e+000	-1.188103e-001
2.678357142853943e-006	3.006775e+000	4.971005e+000	9.103579e-002	4.995710e+000	-1.113162e-001
2.689642857139644e-006	2.965906e+000	4.971315e+000	8.724105e-002	4.996610e+000	-1.023955e-001
2.700928571425344e-006	2.925196e+000	4.971613e+000	8.361802e-002	4.997562e+000	-9.204812e-002
2.712214285711045e-006	2.884646e+000	4.971900e+000	8.016672e-002	4.998566e+000	-8.027404e-002
2.723499999996746e-006	2.844256e+000	4.972176e+000	7.688713e-002	4.999622e+000	-6.707326e-002
2.729642857139596e-006	2.822368e+000	4.972325e+000	7.515812e-002	5.000221e+000	-5.910720e-002
2.735785714282445e-006	2.800542e+000	4.972472e+000	7.346998e-002	5.000837e+000	-5.059143e-002
2.741928571425295e-006	2.778778e+000	4.972617e+000	7.182271e-002	5.001470e+000	-4.152596e-002
2.748071428568145e-006	2.757076e+000	4.972760e+000	7.021631e-002	5.002121e+000	-3.191079e-002
2.754214285710995e-006	2.735437e+000	4.972902e+000	6.865078e-002	5.002788e+000	-2.174592e-002
2.760357142853845e-006	2.713860e+000	4.973041e+000	6.712612e-002	5.003473e+000	-1.103134e-002
2.766499999996695e-006	2.692345e+000	4.973179e+000	6.564233e-002	5.004175e+000	2.329384e-004
2.768499999996692e-006	2.685355e+000	4.973223e+000	6.516671e-002	5.004407e+000	4.040354e-003
2.771499999996689e-006	2.674883e+000	4.973290e+000	6.446075e-002	5.004760e+000	9.871806e-003
2.778642857139537e-006	2.650014e+000	4.973447e+000	6.281820e-002	5.005614e+000	2.427842e-002
2.785785714282386e-006	2.625236e+000	4.973603e+000	6.122197e-002	5.006498e+000	3.960535e-002
2.792928571425234e-006	2.600547e+000	4.973756e+000	5.967205e-002	5.007411e+000	5.585258e-002
2.800071428568083e-006	2.575949e+000	4.973908e+000	5.816844e-002	5.008352e+000	7.302013e-002
2.807214285710932e-006	2.551440e+000	4.974058e+000	5.671115e-002	5.009323e+000	9.110797e-002
2.814357142853780e-006	2.527022e+000	4.974206e+000	5.530017e-002	5.010323e+000	1.101161e-001
2.821499999996629e-006	2.502694e+000	4.974352e+000	5.393551e-002	5.011353e+000	1.300446e-001
2.832785714282330e-006	2.464487e+000	4.974582e+000	5.186928e-002	5.013030e+000	1.633507e-001
2.844071428568031e-006	2.426436e+000	4.974804e+000	4.989856e-002	5.014821e+000	1.997341e-001
2.855357142853731e-006	2.388542e+000	4.975019e+000	4.802334e-002	5.016726e+000	2.391949e-001
2.866642857139432e-006	2.350805e+000	4.975225e+000	4.624362e-002	5.018744e+000	2.817331e-001
2.877928571425133e-006	2.313224e+000	4.975425e+000	4.455941e-002	5.020877e+000	3.273486e-001
2.889214285710834e-006	2.275799e+000	4.975616e+000	4.297070e-002	5.023123e+000	3.760415e-001
2.900499999996534e-006	2.238531e+000	4.975800e+000	4.147749e-002	5.025483e+000	4.278117e-001
2.908357142853668e-006	2.212517e+000	4.975919e+000	4.048778e-002	5.027236e+000	4.663156e-001
2.916214285710801e-006	2.186552e+000	4.976031e+000	3.953604e-002	5.029063e+000	5.066660e-001
2.924071428567935e-006	2.160635e+000	4.976138e+000	3.862226e-002	5.030964e+000	5.488630e-001
2.931928571425068e-006	2.134765e+000	4.976239e+000	3.774645e-002	5.032939e+000	5.929065e-001
2.939785714282202e-006	2.108944e+000	4.976334e+000	3.690861e-002	5.034988e+000	6.387965e-001
2.947642857139335e-006	2.083171e+000	4.976423e+000	3.610874e-002	5.037111e+000	6.865330e-001
2.955499999996469e-006	2.057446e+000	4.976506e+000	3.534683e-002	5.039308e+000	7.361160e-001
2.958499999996465e-006	2.047654e+000	4.976534e+000	3.506202e-002	5.040154e+000	7.554219e-001
2.974071428567875e-006	1.997565e+000	4.976692e+000	3.366179e-002	5.044580e+000	8.591145e-001
2.989642857139285e-006	1.947450e+000	4.976806e+000	3.238561e-002	5.049448e+000	9.708351e-001
