time	V(1_a1)	V(2_a0)	V(3_b1)	V(4_b0)	V(5_c0)	V(6_q1)	V(7_q0)
5.034859353025157e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.568338e-009	1.311762e-008	4.999998e+000
8.803523607238665e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.568793e-009	1.427517e-008	5.000000e+000
9.999980000000119e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.568793e-009	1.427517e-008	5.000000e+000
9.999990000000001e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.568796e-009	1.427517e-008	5.000000e+000
9.999990035790894e-004	0.000000e+000	0.000000e+000	1.789545e-002	5.000000e+000	1.439812e-005	2.967500e-005	5.000000e+000
9.999990107372680e-004	0.000000e+000	0.000000e+000	5.368634e-002	5.000000e+000	4.315507e-005	8.798781e-005	5.000000e+000
9.999990250536251e-004	0.000000e+000	0.000000e+000	1.252681e-001	5.000000e+000	1.005193e-004	1.961447e-004	5.000000e+000
9.999990536863391e-004	0.000000e+000	0.000000e+000	2.684317e-001	5.000000e+000	2.148276e-004	3.681828e-004	5.000000e+000
9.999990743415396e-004	0.000000e+000	0.000000e+000	3.717077e-001	5.000000e+000	2.969118e-004	4.414002e-004	5.000000e+000
9.999990956062555e-004	0.000000e+000	0.000000e+000	4.780313e-001	5.000000e+000	3.810226e-004	4.824954e-004	5.000000e+000
9.999991495314104e-004	0.000000e+000	0.000000e+000	7.476571e-001	5.000000e+000	5.924269e-004	5.751384e-004	5.000000e+000
9.999992167633136e-004	0.000000e+000	0.000000e+000	1.083817e+000	5.000000e+000	8.530508e-004	6.905572e-004	5.000000e+000
9.999992710126727e-004	0.000000e+000	0.000000e+000	1.355063e+000	5.000000e+000	1.062402e-003	7.835676e-004	5.000000e+000
9.999993388321367e-004	0.000000e+000	0.000000e+000	1.694161e+000	5.000000e+000	1.325139e-003	8.995855e-004	5.000000e+000
9.999994073253086e-004	0.000000e+000	0.000000e+000	2.036627e+000	5.000000e+000	1.590906e-003	1.015169e-003	5.000000e+000
9.999994711603279e-004	0.000000e+000	0.000000e+000	2.355802e+000	5.000000e+000	1.835737e-003	1.121174e-003	5.000000e+000
9.999995549342439e-004	0.000000e+000	0.000000e+000	2.774671e+000	5.000000e+000	2.151130e-003	1.260376e-003	5.000000e+000
9.999997612832347e-004	0.000000e+000	0.000000e+000	3.806416e+000	5.000000e+000	2.895599e-003	1.599655e-003	5.000000e+000
1.000000000000000e-003	0.000000e+000	0.000000e+000	5.000000e+000	5.000000e+000	3.722689e-003	1.986732e-003	5.000000e+000
1.000000000817561e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.995912e+000	3.722482e-003	1.986123e-003	4.999937e+000
1.000000002452683e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.987737e+000	3.722068e-003	1.984907e-003	4.999810e+000
1.000000049925970e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.750370e+000	3.710068e-003	1.948107e-003	4.996133e+000
1.000000097399257e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.513004e+000	3.698088e-003	1.908923e-003	4.992443e+000
1.000000144872544e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.275638e+000	3.686128e-003	1.867357e-003	4.988740e+000
1.000000192345830e-003	0.000000e+000	0.000000e+000	5.000000e+000	4.038271e+000	3.674187e-003	1.823408e-003	4.985024e+000
1.000000239819117e-003	0.000000e+000	0.000000e+000	5.000000e+000	3.800905e+000	3.662266e-003	1.777075e-003	4.981295e+000
1.000000287292404e-003	0.000000e+000	0.000000e+000	5.000000e+000	3.563538e+000	3.650365e-003	1.728359e-003	4.977553e+000
1.000000334765690e-003	0.000000e+000	0.000000e+000	5.000000e+000	3.326172e+000	3.638483e-003	1.677260e-003	4.973799e+000
1.000000415605323e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.921973e+000	3.618287e-003	1.593467e-003	4.967592e+000
1.000000467640276e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.661799e+000	3.605327e-003	1.539071e-003	4.963709e+000
1.000000533571740e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.332141e+000	3.588945e-003	1.469776e-003	4.958824e+000
1.000000590619018e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.046905e+000	3.574803e-003	1.409634e-003	4.954601e+000
1.000000651329184e-003	0.000000e+000	0.000000e+000	5.000000e+000	1.743354e+000	3.559789e-003	1.345437e-003	4.950119e+000
1.000000724098738e-003	0.000000e+000	0.000000e+000	5.000000e+000	1.379506e+000	3.541835e-003	1.268287e-003	4.944765e+000
1.000000777504924e-003	0.000000e+000	0.000000e+000	5.000000e+000	1.112475e+000	3.528692e-003	1.211525e-003	4.940853e+000
1.000000847669707e-003	0.000000e+000	0.000000e+000	5.000000e+000	7.616515e-001	3.511460e-003	1.136813e-003	4.935739e+000
1.000000883671891e-003	0.000000e+000	0.000000e+000	5.000000e+000	5.816405e-001	3.502641e-003	1.098417e-003	4.933195e+000
1.000000931674804e-003	0.000000e+000	0.000000e+000	5.000000e+000	3.416260e-001	3.490906e-003	1.047151e-003	4.930192e+000
1.000001000000000e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.474226e-003	9.741082e-004	4.926538e+000
1.000001005068973e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.473097e-003	9.748733e-004	4.926692e+000
1.000001015206918e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.470840e-003	9.764063e-004	4.926961e+000
1.000001035482809e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.466330e-003	9.794720e-004	4.927375e+000
1.000001066215775e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.459499e-003	9.841041e-004	4.927818e+000
1.000001100099469e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.451980e-003	9.891819e-004	4.928139e+000
1.000001160032688e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.438709e-003	9.980891e-004	4.928480e+000
1.000001244910990e-003	0.000000e+000	0.000000e+000	5.000000e+000	0.000000e+000	3.419979e-003	1.010543e-003	4.928734e+000
