time	V(vin)	V(n001)
2.192800211904656e-004	5.000000e+000	3.887638e-009
2.535657354761799e-004	5.000000e+000	3.958483e-009
2.878514497618943e-004	5.000000e+000	3.852201e-009
3.221371640476085e-004	5.000000e+000	3.568793e-009
6.407085926190381e-004	5.000000e+000	3.568793e-009
9.592800211904675e-004	5.000000e+000	3.568793e-009
1.277851449761897e-003	5.000000e+000	3.568793e-009
1.596422878333327e-003	5.000000e+000	3.568793e-009
1.914994306904756e-003	5.000000e+000	3.568793e-009
2.233565735476186e-003	5.000000e+000	3.568793e-009
2.552137164047614e-003	5.000000e+000	3.568793e-009
5.000000000000000e-003	5.000000e+000	3.568793e-009
5.000001000000000e-003	5.000000e+000	3.568793e-009
5.000001002200000e-003	4.989000e+000	-3.408142e-005
5.000001006600001e-003	4.967000e+000	-1.022547e-004
5.000001138600001e-003	4.307000e+000	-2.147513e-003
5.000001279400002e-003	3.603000e+000	-4.326953e-003
5.000001561000004e-003	2.195000e+000	-8.653872e-003
5.000002000000000e-003	0.000000e+000	-1.533063e-002
5.000002000966133e-003	0.000000e+000	-1.533005e-002
5.000002002898398e-003	0.000000e+000	-1.532890e-002
5.000006524951090e-003	0.000000e+000	-1.262984e-002
5.000011047003782e-003	0.000000e+000	-9.931379e-003
5.000015569056475e-003	0.000000e+000	-7.233499e-003
5.000020091109168e-003	0.000000e+000	-4.536207e-003
5.000024613161860e-003	0.000000e+000	-1.839501e-003
5.000029135214553e-003	0.000000e+000	8.566186e-004
5.000033657267245e-003	0.000000e+000	3.552151e-003
5.000065315500624e-003	0.000000e+000	2.241025e-002
5.000120522609584e-003	0.000000e+000	5.525443e-002
5.000176473360428e-003	0.000000e+000	8.848656e-002
5.000266491364020e-003	0.000000e+000	1.418479e-001
5.000357874436116e-003	0.000000e+000	1.958785e-001
5.000458954626554e-003	0.000000e+000	2.554383e-001
5.000567325458918e-003	0.000000e+000	3.189881e-001
5.000784067123645e-003	0.000000e+000	4.450732e-001
5.001217550453099e-003	0.000000e+000	6.934615e-001
5.002084517112009e-003	0.000000e+000	1.176054e+000
5.003412058911194e-003	0.000000e+000	1.870596e+000
5.005149217794568e-003	0.000000e+000	2.675853e+000
5.006881288187478e-003	0.000000e+000	3.330560e+000
5.008740247102086e-003	0.000000e+000	3.858500e+000
5.010640673908448e-003	0.000000e+000	4.239232e+000
5.012730350473743e-003	0.000000e+000	4.516215e+000
5.015161832997926e-003	0.000000e+000	4.717590e+000
5.017721144934932e-003	0.000000e+000	4.841604e+000
5.020606653969704e-003	0.000000e+000	4.917443e+000
5.023816416647483e-003	0.000000e+000	4.959931e+000
5.027754111612192e-003	0.000000e+000	4.983304e+000
5.032562818063424e-003	0.000000e+000	4.994261e+000
5.039033958595572e-003	0.000000e+000	4.998612e+000
5.048028869660432e-003	0.000000e+000	4.999853e+000
5.058028869660431e-003	0.000000e+000	5.000001e+000
5.068028869660431e-003	0.000000e+000	5.000000e+000
8.698028869660283e-003	0.000000e+000	5.000000e+000
9.999999000000001e-003	0.000000e+000	5.000000e+000
1.000000000000000e-002	0.000000e+000	5.000000e+000
1.000000000961249e-002	4.806244e-002	5.000143e+000
1.000000002883746e-002	1.441873e-001	5.000430e+000
1.000000029798712e-002	1.489936e+000	5.004436e+000
1.000000060558673e-002	3.027934e+000	5.008975e+000
1.000000100000000e-002	5.000000e+000	5.014741e+000
1.000000100086758e-002	5.000000e+000	5.014740e+000
1.000000100260273e-002	5.000000e+000	5.014740e+000
1.000005785663420e-002	5.000000e+000	4.987380e+000
1.000011471413597e-002	5.000000e+000	4.960024e+000
1.000017167443113e-002	5.000000e+000	4.932619e+000
1.000028559502145e-002	5.000000e+000	4.877800e+000
1.000045281041862e-002	5.000000e+000	4.797337e+000
1.000057854329114e-002	5.000000e+000	4.736869e+000
1.000074678706276e-002	5.000000e+000	4.656051e+000
1.000108327460599e-002	5.000000e+000	4.494749e+000
1.000175624969246e-002	5.000000e+000	4.173458e+000
1.000310219986539e-002	5.000000e+000	3.536556e+000
1.000468318145848e-002	5.000000e+000	2.809932e+000
1.000633005574932e-002	5.000000e+000	2.113894e+000
1.000807373276239e-002	5.000000e+000	1.495278e+000
1.001007470742594e-002	5.000000e+000	9.730073e-001
1.001297174948071e-002	5.000000e+000	4.650503e-001
1.001447296876749e-002	5.000000e+000	2.973003e-001
1.001571207250604e-002	5.000000e+000	2.122527e-001
1.001715677774414e-002	5.000000e+000	1.440845e-001
1.001868464136312e-002	5.000000e+000	9.455631e-002
1.002015798012462e-002	5.000000e+000	6.254704e-002
1.002157386070471e-002	5.000000e+000	4.201909e-002
1.002296875349071e-002	5.000000e+000	2.841530e-002
